"date_exported","data_stage","project","site_id","site_type","hole_id_proposedprev","start_depth","end_depth","planneddepth","easting","northing","height","mine_rl","coordsys","date_started","date_completed","hole_status","survey_type","survey_method","date_surveyed","surveyed_by","drilling_contractor","rigid","prospect","zonearea","target","purpose","purposedetail","logged_by","logged_date","comments"
"2022-09-06","P","TujuhBukit","GTD-15-509","DD","GCA062",0,25.3,25.3,174384.496,9046639.843,478.618,5478.618,"WGS84_50S","2015-04-07","2015-04-07","Completed","SURVEYED","dGPS","2015-05-24","MA1","Maxidrill","MD150","Tumpang Pitu","A","HSAuAg","Grade-Control","Infill drilling 20x20m. To test the Oxidemodel Au-grade. Drill to +450mRL.","PR",NULL,"Designed on the 10x10m Grade Control Grid."
"2022-09-06","P","TujuhBukit","GTD-15-510","DD","GCA061",0,23.9,23.9,174406.757,9046635.929,475.254,5475.254,"WGS84_50S","2015-04-08","2015-04-08","Completed","SURVEYED","dGPS","2015-05-24","MA1","Maxidrill","MD150","Tumpang Pitu","A","HSAuAg","Grade-Control","Infill drilling 20x20m. To test the Oxidemodel Au-grade. Drill to +450mRL.","PR",NULL,"Designed on the 10x10m Grade Control Grid. (Piezometer Holes)"
"2022-09-06","P","TujuhBukit","GTD-15-511","DD","GCA053",0,30.7,30.7,174402.696,9046654.424,480.888,5480.888,"WGS84_50S","2015-04-09","2015-04-09","Completed","SURVEYED","dGPS","2015-05-24","MA1","Maxidrill","MD150","Tumpang Pitu","A","HSAuAg","Grade-Control","Infill drilling 20x20m. To test the Oxidemodel Au-grade. Drill to +450mRL.","PR",NULL,"Designed on the 10x10m Grade Control Grid."
"2022-09-06","P","TujuhBukit","GTD-15-512","DD","GCA052",0,28,28,174424.218,9046654.051,476.942,5476.942,"WGS84_50S","2015-04-10","2015-04-10","Completed","SURVEYED","dGPS","2015-05-24","MA1","Maxidrill","MD150","Tumpang Pitu","A","HSAuAg","Grade-Control","Infill drilling 20x20m. To test the Oxidemodel Au-grade. Drill to +450mRL.","PR",NULL,"Designed on the 10x10m Grade Control Grid."
"2022-09-06","P","TujuhBukit","GTD-15-513","DD","GCA043",0,26,26,174424.038,9046676.111,473.484,5473.484,"WGS84_50S","2015-04-11","2015-04-11","Completed","SURVEYED","dGPS","2015-05-24","MA1","Maxidrill","MD150","Tumpang Pitu","A","HSAuAg","Grade-Control","Infill drilling 20x20m. To test the Oxidemodel Au-grade. Drill to +450mRL.","PR",NULL,"Designed on the 10x10m Grade Control Grid. (Piezometer Holes)"
"2022-09-06","P","TujuhBukit","GTD-15-514","DD","GCA034",0,26,26,174404.447,9046697.079,474.83,5474.83,"WGS84_50S","2015-04-11","2015-04-11","Completed","SURVEYED","dGPS","2015-05-24","MA1","Maxidrill","MD150","Tumpang Pitu","A","HSAuAg","Grade-Control","Infill drilling 20x20m. To test the Oxidemodel Au-grade. Drill to +450mRL.",NULL,NULL,"Designed on the 10x10m Grade Control Grid."
"2022-09-06","P","TujuhBukit","GTD-15-515","DD","GCA035",0,32,32,174384.297,9046693.846,480.404,5480.404,"WGS84_50S","2015-04-12","2015-04-12","Completed","SURVEYED","dGPS","2015-05-24","MA1","Maxidrill","MD150","Tumpang Pitu","A","HSAuAg","Grade-Control","Infill drilling 20x20m. To test the Oxidemodel Au-grade. Drill to +450mRL.",NULL,NULL,"Designed on the 10x10m Grade Control Grid."
"2022-09-06","P","TujuhBukit","GTD-15-516","DD","GCA025",0,32,32,174384.959,9046712.304,480.045,5480.045,"WGS84_50S","2015-04-12","2015-04-12","Completed","SURVEYED","dGPS","2015-05-24","MA1","Maxidrill","MD150","Tumpang Pitu","A","HSAuAg","Grade-Control","Infill drilling 20x20m. To test the Oxidemodel Au-grade. Drill to +450mRL.",NULL,NULL,"Designed on the 10x10m Grade Control Grid."
"2022-09-06","P","TujuhBukit","GTD-15-517","DD","GCA026",0,38,38,174363.12,9046712.549,486.543,5486.543,"WGS84_50S","2015-04-13","2015-04-13","Completed","SURVEYED","dGPS","2015-05-24","MA1","Maxidrill","MD150","Tumpang Pitu","A","HSAuAg","Grade-Control","Infill drilling 20x20m. To test the Oxidemodel Au-grade. Drill to +450mRL.",NULL,NULL,"Designed on the 10x10m Grade Control Grid."
"2022-09-06","P","TujuhBukit","GTD-15-518","DD","GCA027",0,38,38,174345.453,9046716.22,486.629,5486.629,"WGS84_50S","2015-04-14","2015-04-14","Completed","SURVEYED","dGPS","2015-05-24","MA1","Maxidrill","MD150","Tumpang Pitu","A","HSAuAg","Grade-Control","Infill drilling 20x20m. To test the Oxidemodel Au-grade. Drill to +450mRL.","PR",NULL,"Designed on the 10x10m Grade Control Grid."
"2022-09-06","P","TujuhBukit","GTD-15-519","DD","GCA037",0,40,40,174344.773,9046696.88,488.464,5488.464,"WGS84_50S","2015-04-15","2015-04-15","Completed","SURVEYED","dGPS","2015-05-24","MA1","Maxidrill","MD150","Tumpang Pitu","A","HSAuAg","Grade-Control","Infill drilling 20x20m. To test the Oxidemodel Au-grade. Drill to +450mRL.",NULL,NULL,"Designed on the 10x10m Grade Control Grid. (Piezometer Holes)"
"2022-09-06","P","TujuhBukit","GTD-15-520","DD","GCA048",0,36,36,174325.526,9046672.601,484.877,5484.877,"WGS84_50S","2015-04-16","2015-04-17","Completed","SURVEYED","dGPS","2015-05-24","MA1","Maxidrill","MD150","Tumpang Pitu","A","HSAuAg","Grade-Control","Infill drilling 20x20m. To test the Oxidemodel Au-grade. Drill to +450mRL.",NULL,NULL,"Designed on the 10x10m Grade Control Grid."
"2022-09-06","P","TujuhBukit","GTD-15-521","DD","GCA057",0,32,32,174328.317,9046654.624,481.356,5481.356,"WGS84_50S","2015-04-17","2015-04-18","Completed","SURVEYED","dGPS","2015-05-24","MA1","Maxidrill","MD150","Tumpang Pitu","A","HSAuAg","Grade-Control","Infill drilling 20x20m. To test the Oxidemodel Au-grade. Drill to +450mRL.",NULL,NULL,"Designed on the 10x10m Grade Control Grid."
"2022-09-06","P","TujuhBukit","GTD-15-522","DD","GCA049",0,16,16,174305.874,9046672.624,466.303,5466.303,"WGS84_50S","2015-04-18","2015-04-18","Completed","SURVEYED","dGPS","2015-05-24","MA1","Maxidrill","MD150","Tumpang Pitu","A","HSAuAg","Grade-Control","Infill drilling 20x20m. To test the Oxidemodel Au-grade. Drill to +450mRL.",NULL,NULL,"Designed on the 10x10m Grade Control Grid."
"2022-09-06","P","TujuhBukit","GTD-15-523","DD","GCA058",0,18,18,174304.752,9046656.991,469.044,5469.044,"WGS84_50S","2015-04-19","2015-04-19","Completed","SURVEYED","dGPS","2015-05-24","MA1","Maxidrill","MD150","Tumpang Pitu","A","HSAuAg","Grade-Control","Infill drilling 20x20m. To test the Oxidemodel Au-grade. Drill to +450mRL.","KM",NULL,"Designed on the 10x10m Grade Control Grid. (Piezometer Holes)"
"2022-09-06","P","TujuhBukit","GTD-15-524","DD","GCA065",0,16,16,174326.331,9046637.321,470.918,5470.918,"WGS84_50S","2015-04-20","2015-04-20","Completed","SURVEYED","dGPS","2015-05-24","MA1","Maxidrill","MD150","Tumpang Pitu","A","HSAuAg","Grade-Control","Infill drilling 20x20m. To test the Oxidemodel Au-grade. Drill to +450mRL.","KM",NULL,"Designed on the 10x10m Grade Control Grid."
"2022-09-06","P","TujuhBukit","GTD-15-525","DD","GCA064",0,24,24,174348.663,9046636.626,476.209,5476.209,"WGS84_50S","2015-04-20","2015-04-20","Completed","SURVEYED","dGPS","2015-05-24","MA1","Maxidrill","MD150","Tumpang Pitu","A","HSAuAg","Grade-Control","Infill drilling 20x20m. To test the Oxidemodel Au-grade. Drill to +450mRL.","KM",NULL,"Designed on the 10x10m Grade Control Grid."
"2022-09-06","P","TujuhBukit","GTD-15-526","DD","GCA056",0,36,36,174348.431,9046653.464,484.205,5484.205,"WGS84_50S","2015-04-21","2015-04-21","Completed","SURVEYED","dGPS","2015-05-24","MA1","Maxidrill","MD150","Tumpang Pitu","A","HSAuAg","Grade-Control","Infill drilling 20x20m. To test the Oxidemodel Au-grade. Drill to +450mRL.","KM",NULL,"Designed on the 10x10m Grade Control Grid. (Piezometer Holes)"
"2022-09-06","P","TujuhBukit","GTD-15-527","DD","GCA047",0,40,40,174345.224,9046675.824,488.642,5488.642,"WGS84_50S","2015-04-22","2015-04-22","Completed","SURVEYED","dGPS","2015-05-24","MA1","Maxidrill","MD150","Tumpang Pitu","A","HSAuAg","Grade-Control","Infill drilling 20x20m. To test the Oxidemodel Au-grade. Drill to +450mRL.","KM",NULL,"Designed on the 10x10m Grade Control Grid."
"2022-09-06","P","TujuhBukit","GTD-15-528","DD","GCA038",0,38,38,174328.574,9046691.711,488.352,5488.352,"WGS84_50S","2015-04-23","2015-04-23","Completed","SURVEYED","dGPS","2015-05-24","MA1","Maxidrill","MD150","Tumpang Pitu","A","HSAuAg","Grade-Control","Infill drilling 20x20m. To test the Oxidemodel Au-grade. Drill to +450mRL.","KM",NULL,"Designed on the 10x10m Grade Control Grid."
"2022-09-06","P","TujuhBukit","GTD-15-529","DD","GCA020",0,26,26,174283.385,9046731.529,476.173,5476.173,"WGS84_50S","2015-04-24","2015-04-24","Completed","SURVEYED","dGPS","2015-05-24","MA1","Maxidrill","MD150","Tumpang Pitu","A","HSAuAg","Grade-Control","Infill drilling 20x20m. To test the Oxidemodel Au-grade. Drill to +450mRL.","KM",NULL,"Designed on the 10x10m Grade Control Grid."
"2022-09-06","P","TujuhBukit","GTD-15-530","DD","GCA030",0,24,24,174284.144,9046717.379,475.673,5475.673,"WGS84_50S","2015-04-25","2015-04-25","Completed","SURVEYED","dGPS","2015-05-24","MA1","Maxidrill","MD150","Tumpang Pitu","A","HSAuAg","Grade-Control","Infill drilling 20x20m. To test the Oxidemodel Au-grade. Drill to +450mRL.","KM",NULL,"Designed on the 10x10m Grade Control Grid."
"2022-09-06","P","TujuhBukit","GTD-15-531","DD","GCA031",0,10,10,174265.842,9046716.786,463.956,5463.956,"WGS84_50S","2015-04-26","2015-04-26","Completed","SURVEYED","dGPS","2015-05-24","MA1","Maxidrill","MD150","Tumpang Pitu","A","HSAuAg","Grade-Control","Infill drilling 20x20m. To test the Oxidemodel Au-grade. Drill to +450mRL.","KM",NULL,"Designed on the 10x10m Grade Control Grid. (Piezometer Holes)"
"2022-09-06","P","TujuhBukit","GTD-15-532","DD","GCA021",0,16,16,174264.574,9046736.219,463.912,5463.912,"WGS84_50S","2015-04-26","2015-04-26","Completed","SURVEYED","dGPS","2015-05-24","MA1","Maxidrill","MD150","Tumpang Pitu","A","HSAuAg","Grade-Control","Infill drilling 20x20m. To test the Oxidemodel Au-grade. Drill to +450mRL.","KM",NULL,"Designed on the 10x10m Grade Control Grid. (Piezometer Holes)"
"2022-09-06","P","TujuhBukit","GTD-15-533","DD","GCA012",0,14,14,174283.236,9046752.715,462.473,5462.473,"WGS84_50S","2015-04-27","2015-04-27","Completed","SURVEYED","dGPS","2014-05-24","MA1","Maxidrill","MD150","Tumpang Pitu","A","HSAuAg","Grade-Control","Infill drilling 20x20m. To test the Oxidemodel Au-grade. Drill to +450mRL.","KM",NULL,"Designed on the 10x10m Grade Control Grid."
"2022-09-06","P","TujuhBukit","GTD-15-534","DD","GCA005",0,12,12,174308.14,9046774.212,462.072,5462.072,"WGS84_50S","2015-04-27","2015-04-27","Completed","SURVEYED","dGPS","2015-05-24","MA1","Maxidrill","MD150","Tumpang Pitu","A","HSAuAg","Grade-Control","Infill drilling 20x20m. To test the Oxidemodel Au-grade. Drill to +450mRL.","KM",NULL,"Designed on the 10x10m Grade Control Grid. (Piezometer Holes)"
"2022-09-06","P","TujuhBukit","GTD-15-535","DD","GCA004",0,14,14,174323.737,9046774.592,465.029,5465.029,"WGS84_50S","2015-04-27","2015-04-27","Completed","SURVEYED","dGPS","2015-05-24","MA1","Maxidrill","MD150","Tumpang Pitu","A","HSAuAg","Grade-Control","Infill drilling 20x20m. To test the Oxidemodel Au-grade. Drill to +450mRL.",NULL,NULL,"Designed on the 10x10m Grade Control Grid."
"2022-09-06","P","TujuhBukit","GTD-15-536","DD","GCA003",0,14,14,174343.778,9046772.758,463.383,5463.383,"WGS84_50S","2015-04-28","2015-04-28","Completed","SURVEYED","dGPS","2015-05-24","MA1","Maxidrill","MD150","Tumpang Pitu","A","HSAuAg","Grade-Control","Infill drilling 20x20m. To test the Oxidemodel Au-grade. Drill to +450mRL.",NULL,NULL,"Designed on the 10x10m Grade Control Grid."
"2022-09-06","P","TujuhBukit","GTD-15-537","DD","GCA002",0,14,14,174365.047,9046775.308,460.84,5460.84,"WGS84_50S","2015-04-29","2015-04-29","Completed","SURVEYED","dGPS","2015-05-24","MA1","Maxidrill","MD150","Tumpang Pitu","A","HSAuAg","Grade-Control","Infill drilling 20x20m. To test the Oxidemodel Au-grade. Drill to +450mRL.",NULL,NULL,"Designed on the 10x10m Grade Control Grid."
"2022-09-06","P","TujuhBukit","GTD-15-538","DD","GCA010",0,24,24,174324.034,9046753.269,473.978,5473.978,"WGS84_50S","2015-04-29","2015-04-29","Completed","SURVEYED","dGPS","2015-05-24","MA1","Maxidrill","MD150","Tumpang Pitu","A","HSAuAg","Grade-Control","Infill drilling 20x20m. To test the Oxidemodel Au-grade. Drill to +450mRL.",NULL,NULL,"Designed on the 10x10m Grade Control Grid."
"2022-09-06","P","TujuhBukit","GTD-15-539","DD","GCA009",0,24,24,174344.281,9046753.593,472.241,5472.241,"WGS84_50S","2015-04-30","2015-04-30","Completed","SURVEYED","dGPS","2015-05-24","MA1","Maxidrill","MD150","Tumpang Pitu","A","HSAuAg","Grade-Control","Infill drilling 20x20m. To test the Oxidemodel Au-grade. Drill to +450mRL.",NULL,NULL,"Designed on the 10x10m Grade Control Grid. (Piezometer Holes)"
"2022-09-06","P","TujuhBukit","GTD-15-540","DD","GCA016",0,32,32,174366.874,9046736.065,480.883,5480.883,"WGS84_50S","2015-04-30","2015-04-30","Completed","SURVEYED","dGPS","2015-05-24","MA1","Maxidrill","MD150","Tumpang Pitu","A","HSAuAg","Grade-Control","Infill drilling 20x20m. To test the Oxidemodel Au-grade. Drill to +450mRL.",NULL,NULL,"Designed on the 10x10m Grade Control Grid."
"2022-09-06","P","TujuhBukit","GTD-15-541","DD","GCA017",0,32,32,174348.659,9046731.615,482.181,5482.181,"WGS84_50S","2015-05-01","2015-05-01","Completed","SURVEYED","dGPS","2015-05-24","MA1","Maxidrill","MD150","Tumpang Pitu","A","HSAuAg","Grade-Control","Infill drilling 20x20m. To test the Oxidemodel Au-grade. Drill to +450mRL.",NULL,NULL,"Designed on the 10x10m Grade Control Grid."
"2022-09-06","P","TujuhBukit","GTD-15-542","DD","GCA036",0,40,40,174362.756,9046693.322,487.019,5487.019,"WGS84_50S","2015-05-02","2015-05-02","Completed","SURVEYED","dGPS","2015-05-24","MA1","Maxidrill","MD150","Tumpang Pitu","A","HSAuAg","Grade-Control","Infill drilling 20x20m. To test the Oxidemodel Au-grade. Drill to +450mRL.",NULL,NULL,"Designed on the 10x10m Grade Control Grid."
"2022-09-06","P","TujuhBukit","GTD-15-543","DD","GCE090",0,36,36,174596.446,9046146.236,400.079,5400.079,"WGS84_50S","2015-05-03","2015-05-03","Completed","SURVEYED","dGPS","2015-06-09","MA1","Maxidrill","MD150","Tumpang Pitu","E","HSAuAg","Grade-Control","Infill drilling 20x20m. To test the Oxidemodel Au-grade. Drill to +365mRL.",NULL,NULL,"Designed on the 10x10m Grade Control Grid. (Piezometer Holes)"
"2022-09-06","P","TujuhBukit","GTD-15-544","DD","GCE092",0,40,40,174574.594,9046146.133,397.144,5397.144,"WGS84_50S","2015-05-04","2015-05-04","Completed","SURVEYED","dGPS","2015-06-09","MA1","Maxidrill","MD150","Tumpang Pitu","E","HSAuAg","Grade-Control","Infill drilling 20x20m. To test the Oxidemodel Au-grade. Drill to +360mRL.",NULL,NULL,"Designed on the 10x10m Grade Control Grid."
"2022-09-06","P","TujuhBukit","GTD-15-545","DD","GCE094",0,40,40,174554.938,9046147.656,394.865,5394.865,"WGS84_50S","2015-05-05","2015-05-05","Completed","SURVEYED","dGPS","2015-06-09","MA1","Maxidrill","MD150","Tumpang Pitu","E","HSAuAg","Grade-Control","Infill drilling 20x20m. To test the Oxidemodel Au-grade. Drill to +355mRL.",NULL,NULL,"Designed on the 10x10m Grade Control Grid."
"2022-09-06","P","TujuhBukit","GTD-15-546","DD","GCE096",0,46,46,174537.831,9046143.86,390.589,5390.589,"WGS84_50S","2015-05-06","2015-05-06","Completed","SURVEYED","dGPS","2015-06-09","MA1","Maxidrill","MD150","Tumpang Pitu","E","HSAuAg","Grade-Control","Infill drilling 20x20m. To test the Oxidemodel Au-grade. Drill to +345mRL.",NULL,NULL,"Designed on the 10x10m Grade Control Grid."
"2022-09-06","P","TujuhBukit","GTD-15-547","DD","GCE098",0,40,40,174515.477,9046139.616,384.846,5384.846,"WGS84_50S","2015-05-07","2015-05-07","Completed","SURVEYED","dGPS","2015-06-09","MA1","Maxidrill","MD150","Tumpang Pitu","E","HSAuAg","Grade-Control","Infill drilling 20x20m. To test the Oxidemodel Au-grade. Drill to +345mRL.",NULL,NULL,"Designed on the 10x10m Grade Control Grid."
"2022-09-06","P","TujuhBukit","GTD-15-548","DD","GCE100",0,32,32,174492.257,9046143.986,374.551,5374.551,"WGS84_50S","2015-05-08","2015-05-08","Completed","SURVEYED","dGPS","2015-06-09","MA1","Maxidrill","MD150","Tumpang Pitu","E","HSAuAg","Grade-Control","Infill drilling 20x20m. To test the Oxidemodel Au-grade. Drill to +345mRL.",NULL,NULL,"Designed on the 10x10m Grade Control Grid."
